B_T,shared_flux_quanta,shared_phase_envelope,R1_R2_shared_phase_state,independent_channel_periods,independent_channel_loop_geometry,manual_period_fit
-0.014,-13.5407397587004,0.127638587924811,1,0,0,0
-0.0139,-13.4440201889954,0.174960612040056,1,0,0,0
-0.0138,-13.3473006192904,0.461530135867845,1,0,0,0
-0.0137,-13.2505810495854,0.705814836161932,1,0,0,0
-0.0136,-13.1538614798804,0.885433649062852,1,0,0,0
-0.0135,-13.0571419101754,0.983930119798558,1,0,0,0
-0.0134,-12.9604223404704,0.992280122835143,1,0,0,0
-0.0133,-12.8637027707654,0.909718641161865,1,0,0,0
-0.0132,-12.7669832010604,0.743809856208984,1,0,0,0
-0.0131,-12.6702636313554,0.509754126846313,1,0,0,0
-0.013,-12.5735440616504,0.228995351194488,1,0,0,0
-0.0129,-12.4768244919453,0.0727436969526398,1,0,0,0
-0.0128,-12.3801049222403,0.367818057033297,1,0,0,0
-0.0127,-12.2833853525353,0.629193379011234,1,0,0,0
-0.0126,-12.1866657828303,0.832922777283588,1,0,0,0
-0.0125,-12.0899462131253,0.96034081489383,1,0,0,0
-0.0124,-11.9932266434203,0.999773607914041,1,0,0,0
-0.0123,-11.8965070737153,0.94760837233573,1,0,0,0
-0.0122,-11.7997875040103,0.808624422898279,1,0,0,0
-0.0121,-11.7030679343053,0.595555298149344,1,0,0,0
-0.012,-11.6063483646003,0.327922129300766,1,0,0,0
-0.0119,-11.5096287948953,0.0302451381908088,1,0,0,0
-0.0118,-11.4129092251903,0.270202875289645,1,0,0,0
-0.0117,-11.3161896554853,0.545895233587498,1,0,0,0
-0.0116,-11.2194700857803,0.771573341837015,1,0,0,0
-0.0115,-11.1227505160753,0.926560849262499,1,0,0,0
-0.0114,-11.0260309463703,0.996657991012007,1,0,0,0
-0.0113,-10.9293113766653,0.975442553152477,1,0,0,0
-0.0112,-10.8325918069603,0.864858268013309,1,0,0,0
-0.0111,-10.7358722372553,0.67503673182044,1,0,0,0
-0.011,-10.6391526675503,0.423369160308284,1,0,0,0
-0.0109,-10.5424330978453,0.132913026919042,1,0,0,0
-0.0108,-10.4457135281403,0.169720434561754,1,0,0,0
-0.0107,-10.3489939584353,0.456804318522525,1,0,0,0
-0.0106,-10.2522743887303,0.70203635252372,1,0,0,0
-0.0105,-10.1555548190253,0.882948679156525,1,0,0,0
-0.0104,-10.0588352493203,0.982966333511325,1,0,0,0
-0.0103,-9.96211567961528,0.992925821081528,1,0,0,0
-0.0102,-9.86539610991028,0.911914665862511,1,0,0,0
-0.0101,-9.76867654020527,0.74735501028113,1,0,0,0
-0.01,-9.67195697050027,0.514323607633124,1,0,0,0
-0.0099,-9.57523740079527,0.234170508485071,1,0,0,0
-0.0098,-9.47851783109027,0.0674370047056747,1,0,0,0
-0.0097,-9.38179826138526,0.362866022448312,1,0,0,0
-0.0096,-9.28507869168026,0.625049701407712,1,0,0,0
-0.0095,-9.18835912197526,0.829967095308331,1,0,0,0
-0.0094,-9.09163955227026,0.958843924495,1,0,0,0
-0.0093,-8.99491998256525,0.99987265234935,1,0,0,0
-0.0092,-8.89820041286025,0.949294277275799,1,0,0,0
-0.0091,-8.80148084315525,0.811742727805553,1,0,0,0
-0.009,-8.70476127345024,0.599820307762603,1,0,0,0
-0.0089,-8.60804170374524,0.332943088683654,1,0,0,0
-0.0088,-8.51132213404024,0.0355620332186332,1,0,0,0
-0.0087,-8.41460256433523,0.265077172001502,1,0,0,0
-0.0086,-8.31788299463023,0.541430332671533,1,0,0,0
-0.0085,-8.22116342492523,0.768178312024938,1,0,0,0
-0.0084,-8.12444385522023,0.924546739011046,1,0,0,0
-0.0083,-8.02772428551522,0.996209330625784,1,0,0,0
-0.0082,-7.93100471581022,0.976600448344383,1,0,0,0
-0.0081,-7.83428514610522,0.867516633849657,1,0,0,0
-0.008,-7.73756557640022,0.678952012092123,1,0,0,0
-0.0079,-7.64084600669522,0.428182641851189,1,0,0,0
-0.0078,-7.54412643699021,0.13818370447303,1,0,0,0
-0.0077,-7.44740686728521,0.16447545399315,1,0,0,0
-0.0076,-7.35068729758021,0.452065573609573,1,0,0,0
-0.0075,-7.2539677278752,0.698238001248418,1,0,0,0
-0.0074,-7.1572481581702,0.88043872179212,1,0,0,0
-0.0073,-7.0605285884652,0.981974729265206,1,0,0,0
